ArretId,CodeVoyage
11503,83
11503,89
11503,87
11497,74
11497,72
11497,70
11497,78
11503,81
11503,93
11503,91
11521,H76
11521,H94
11521,88
11521,90
11521,70
11521,76
11521,78
11521,86
11521,72
11521,84
11521,80
11521,82
11521,74
11521,H92
11521,H88
11521,H90
11497,H76
11497,H94
11497,H90
11497,H92
11497,H88
11615,H83
11615,H81
11615,73
11529,90
11615,95
11615,75
11529,88
11615,85
11615,H71
11615,H73
11529,86
11529,80
11615,79
11615,89
11529,82
11529,84
11615,87
11615,93
11529,74
11615,81
11615,91
11615,77
11615,H75
11529,78
11529,72
11615,83
11529,70
11529,76
11607,95
11607,75
11675,88
11607,73
11675,90
11675,78
11607,91
11675,74
11607,77
11607,81
11675,72
11607,93
11675,70
11675,76
11607,83
11675,86
11675,84
11675,80
11607,89
11675,82
11607,87
11607,85
11607,79
11679,90
11603,73
11603,95
11603,75
11679,88
11679,86
11603,91
11679,80
11679,82
11679,84
11603,83
11603,89
11679,74
11603,87
11603,85
11603,79
11679,78
11603,81
11603,93
11679,72
11679,70
11679,76
11603,77
11567,90
11567,88
11557,85
11557,83
11567,86
11567,80
11557,89
11567,82
11567,84
11557,87
11567,74
11557,79
11557,93
11557,81
11567,78
11557,91
11557,77
11567,72
11567,70
11567,76
11569,73
11569,95
11569,75
11556,82
11556,84
11569,91
11569,77
11569,83
11556,86
11556,80
11569,89
11569,87
11569,85
11556,74
11569,79
11569,81
11569,93
11556,70
11556,76
11556,78
11556,72
11613,H76
11613,H94
11601,90
11681,73
11681,95
11681,75
11601,88
11681,83
11601,74
11681,79
11681,89
11601,82
11681,87
11681,85
11681,81
11681,93
11681,77
11601,72
11601,70
11601,76
11601,78
11681,91
11601,86
11601,84
11601,80
11677,95
11677,75
11605,88
11605,90
11677,73
11605,72
11677,77
11677,79
11605,70
11605,76
11605,78
11677,81
11677,93
11605,86
11677,91
11605,80
11605,84
11605,82
11677,83
11677,89
11605,74
11677,87
11677,85
11523,H81
11523,H83
11531,95
11531,73
11613,88
11531,75
11613,90
11613,72
11531,79
11613,70
11613,76
11613,78
11531,81
11531,93
11613,86
11613,84
11613,H88
11613,H92
11531,91
11531,77
11613,80
11613,82
11613,74
11531,87
11531,85
11613,H90
11531,83
11531,89
11523,95
11523,75
11523,73
11523,H71
11523,H73
11523,79
11523,81
11523,93
11523,91
11523,77
11523,H75
11523,83
11523,89
11523,87
11523,85
11497,95
11503,88
11503,80
11503,82
11497,85
11497,93
11497,91
11503,76
11497,89
11635,H901
11635,H911
11635,H913
11635,H927
11635,H923
11635,963
11635,943
11635,949
11635,915
11635,931
11635,921
11635,955
11635,941
11635,965
11635,979
11635,1009
11635,1003
11635,945
11635,933
11635,937
11635,967
11635,981
11635,1005
11635,959
11635,935
11635,929
11635,925
11635,953
11635,939
11635,947
11635,927
11635,961
11635,983
11635,951
11635,957
11635,971
11635,987
11635,975
11635,1007
11635,977
11635,989
11635,973
11635,985
11635,1001
11635,1011
11635,991
11498,926
11498,1000
11498,920
11498,928
11498,924
11498,922
11498,972
11498,970
11498,1006
11635,H925
11535,H944
11535,H948
