LigneId,ArretId,SequenceArret,Girouette,Longitude,Latitude
345,11503,1,Candiac,-73.665026,45.452827
345,11615,4,Candiac,-73.570805750666,45.4947620353203
345,11607,5,Candiac,-73.6030995911778,45.4737620423281
345,11603,6,Candiac,-73.6417387653488,45.4536719903492
345,11557,7,Candiac,-73.6558863689166,45.4376361907861
345,11569,8,Candiac,-73.6569767067354,45.4252077082655
345,11681,9,Candiac,-73.6000979691623,45.3820335001678
345,11677,10,Candiac,-73.5702973321214,45.3739389657168
345,11531,11,Candiac,-73.5407995188962,45.3668353867916
345,11523,13,Candiac,-73.5147939581491,45.3606506438308
345,11497,14,Candiac,-73.536001,45.365728
345,11497,1,Lucien-L'Allier,-73.536001,45.365728
345,11521,2,Lucien-L'Allier,-73.5147939581491,45.3606506438308
345,11529,4,Lucien-L'Allier,-73.5407995188962,45.3668353867916
345,11675,5,Lucien-L'Allier,-73.5702973321214,45.3739389657168
345,11679,6,Lucien-L'Allier,-73.6000979691623,45.3820335001678
345,11567,7,Lucien-L'Allier,-73.6569767067354,45.4252077082655
345,11556,8,Lucien-L'Allier,-73.6558863689166,45.4376361907861
345,11601,9,Lucien-L'Allier,-73.6417387653488,45.4536719903492
345,11605,10,Lucien-L'Allier,-73.6030995911778,45.4737620423281
345,11613,11,Lucien-L'Allier,-73.570805750666,45.4947620353203
346,11635,1,Deux-Montagnes,-73.5666664467233,45.4999926193153
346,11617,2,Deux-Montagnes,-73.6343512314225,45.5138896215388
346,11727,3,Deux-Montagnes,-73.6448157466987,45.5169003007672
346,11695,4,Deux-Montagnes,-73.6728077522494,45.5249599470795
346,11691,5,Deux-Montagnes,-73.6911657075008,45.528907990404
346,11687,6,Deux-Montagnes,-73.7097712986331,45.5230083856647
346,11525,7,Deux-Montagnes,-73.7839319029124,45.5034295451525
346,11663,8,Deux-Montagnes,-73.8091338677806,45.5090871224706
346,11583,9,Deux-Montagnes,-73.8520708934612,45.5193470266457
346,11579,10,Deux-Montagnes,-73.8628881880326,45.5234974324605
346,11537,11,Deux-Montagnes,-73.8886389812954,45.5376121850531
346,11533,12,Deux-Montagnes,-73.9132333393944,45.5459573384475
346,11498,13,Deux-Montagnes,-73.93559,45.5502
346,11498,1,Gare Centrale,-73.93559,45.5502
346,11535,2,Gare Centrale,-73.9132333393944,45.5459573384475
346,11539,3,Gare Centrale,-73.8886389812954,45.5376121850531
346,11581,4,Gare Centrale,-73.8628881880326,45.5234974324605
